Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,48.970001220703125,50.349998474121094,48.720001220703125,48.84000015258789,48.84000015258789,276629
2012-01-04,48.34000015258789,49.709999084472656,47.540000915527344,49.25,49.25,258498
2012-01-05,49.720001220703125,52.36000061035156,49.310001373291016,51.59000015258789,51.59000015258789,653749
2012-01-06,51.70000076293945,52.47999954223633,50.599998474121094,51.61000061035156,51.61000061035156,461424
2012-01-09,51.61000061035156,53.38999938964844,51.150001525878906,53.369998931884766,53.369998931884766,508159
2012-01-10,54.0099983215332,55.63999938964844,53.83000183105469,55.31999969482422,55.31999969482422,893698
2012-01-11,55.0,55.36000061035156,54.43000030517578,55.09000015258789,55.09000015258789,642093
2012-01-12,55.189998626708984,55.679901123046875,54.16999816894531,55.2599983215332,55.2599983215332,391795
2012-01-13,54.04999923706055,54.540000915527344,53.54999923706055,53.904998779296875,53.904998779296875,390185
2012-01-17,52.86000061035156,54.59000015258789,52.86000061035156,54.279998779296875,54.279998779296875,471666
2012-01-18,54.209999084472656,55.290000915527344,54.0,55.099998474121094,55.099998474121094,307868
2012-01-19,55.70000076293945,55.72999954223633,54.59000015258789,54.880001068115234,54.880001068115234,203469
2012-01-20,54.70000076293945,55.099998474121094,53.880001068115234,54.93000030517578,54.93000030517578,346696
2012-01-23,54.83000183105469,55.0,53.77000045776367,53.900001525878906,53.900001525878906,338833
2012-01-24,53.540000915527344,53.790000915527344,52.66999816894531,53.220001220703125,53.220001220703125,595181
2012-01-25,53.06999969482422,55.41999816894531,52.869998931884766,54.970001220703125,54.970001220703125,849005
2012-01-26,55.310001373291016,55.33000183105469,51.959999084472656,53.0,53.0,827528
2012-01-27,53.5,57.4900016784668,53.5,56.56999969482422,56.56999969482422,966327
2012-01-30,56.2599983215332,57.29999923706055,55.560001373291016,56.779998779296875,56.779998779296875,648455
2012-01-31,57.040000915527344,58.25,56.90999984741211,58.040000915527344,58.040000915527344,858588
2012-02-01,58.099998474121094,60.150001525878906,58.099998474121094,59.959999084472656,59.959999084472656,985486
2012-02-02,59.02000045776367,59.709999084472656,57.9010009765625,58.130001068115234,58.130001068115234,686635
2012-02-03,59.34000015258789,59.79999923706055,58.54999923706055,58.810001373291016,58.810001373291016,583864
2012-02-06,57.75,58.77000045776367,57.75,58.310001373291016,58.310001373291016,312585
2012-02-07,58.25,59.22999954223633,57.97999954223633,58.720001220703125,58.720001220703125,495508
2012-02-08,58.959999084472656,59.599998474121094,58.70000076293945,59.099998474121094,59.099998474121094,553587
